
Perfil,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
thiaguinho.11,12783,12773,12763,12763,12546,12454,12454,12291,12140
alanbernardon,14969,16252,16242,16242,16112,16094,16094,15976,15878
lucasfrigeri01,33350,33362,33362,34109,34095,33899,33899,33899,33681
raulsteffens_,25379,25510,26236,26238,26729,26587,26587,26587,26948
murilopolo10,20670,20118,20099,19590,18975,18782,18782,18782,18776
lucasronier.oficial,37172,47444,55767,64708,74169,83256,88476,93309,41902
brunoferreira_94,14838,15004,15004,15152,15152,15152,15152,15152,47804
iversonfnds,27242,27236,27178,27138,27116,27116,27116,27116,16425
taly_vitoriaa,22443,21334,20857,19998,18903,18277,18277,18277,
joaquimpallares,12388,12379,12379,12411,12411,12411,12411,12411,
caiob_01,35836,35848,35848,35848,35741,35741,35741,35741,
gugu.97,22965,22960,22960,23071,23071,23071,23071,23071,
deiv_04,22003,22011,22011,22444,22444,22444,22444,22444,
luan_oficial03,25373,25381,25381,25381,25299,25299,25299,25299,
marcelinh0_07,19688,19696,19696,19808,19808,19808,19808,19808,
biel.cl_,30973,30962,30962,31102,31102,31102,31102,31102,
v_guilherme02,34493,34505,34505,34842,34842,34842,34842,34842,
lucas_wingert,22026,22034,22034,22262,22262,22262,22262,22262,
matheust_02,19076,19084,19084,19183,19183,19183,19183,19183,
geovane_02,20562,20570,20570,20739,20739,20739,20739,20739,
leosantos04_,19787,19795,19795,20054,20054,20054,20054,20054,
f_mello94,14838,15004,15004,15152,15152,15152,15152,15152,
nicolas_04,16905,16913,16913,17088,17088,17088,17088,17088,
j_vitor04,17562,17570,17570,17834,17834,17834,17834,17834,
gabylaanza,315995,316138,316138,317798,317798,317798,317798,317798,20123
fofocandocompapi,27791,27244,26978,26365,25619,25166,25166,25166,
i.gor_99,19896,19904,19904,20177,20177,20177,20177,20177,
gustavo_01,24058,24066,24066,24411,24411,24411,24411,24411,
gabyvalentinaa_,76228,76115,76015,76015,74149,73238,73238,72261,
_pedrovitor04,20015,20023,20023,20421,20421,20421,20421,20421,
dudu_04,19124,19132,19132,19385,19385,19385,19385,19385,
thiago_04,17992,18000,18000,18260,18260,18260,18260,18260,
d_melo04,15341,15349,15349,15610,15610,15610,15610,15610,
beatizzy,29019,28867,28857,28734,27885,27506,27506,27154,15449
kauan_04,14896,14904,14904,15156,15156,15156,15156,15156,
l_henrique04,16223,16231,16231,16518,16518,16518,16518,16518,
r_santana04,18774,18782,18782,19136,19136,19136,19136,19136,
r_oliveira04,19441,19449,19449,19830,19830,19830,19830,19830,
m_silva04,20102,20110,20110,20512,20512,20512,20512,20512,
f_santos04,18567,18575,18575,18951,18951,18951,18951,18951,
g_ferreira04,17882,17890,17890,18258,18258,18258,18258,18258,
l_almeida04,16543,16551,16551,16900,16900,16900,16900,16900,
p_costa04,15234,15242,15242,15568,15568,15568,15568,15568,
r_lima04,14897,14905,14905,15233,15233,15233,15233,15233,
l_rocha04,15678,15686,15686,16035,16035,16035,16035,16035,
vansroom,56778,56163,55157,54025,52599,51786,51786,50868,17798
m_gomes04,16345,16353,16353,16723,16723,16723,16723,16723,
a_pereira04,17112,17120,17120,17511,17511,17511,17511,17511,
r_marques04,18456,18464,18464,18889,18889,18889,18889,18889,
l_cavalcanti04,19678,19686,19686,20145,20145,20145,20145,20145,
f_barbosa04,20456,20464,20464,20952,20952,20952,20952,20952,
g_nascimento04,21234,21242,21242,21761,21761,21761,21761,21761,
m_macedo04,22012,22020,22020,22570,22570,22570,22570,22570,
l_pinto04,22790,22798,22798,23379,23379,23379,23379,23379,
r_correia04,23568,23576,23576,24188,24188,24188,24188,24188,
f_mendes04,24346,24354,24354,24997,24997,24997,24997,24997,
g_teixeira04,25124,25132,25132,25806,25806,25806,25806,25806,
m_vieira04,25902,25910,25910,26615,26615,26615,26615,26615,
l_cardoso04,26680,26688,26688,27424,27424,27424,27424,27424,
r_castro04,27458,27466,27466,28233,28233,28233,28233,28233,
f_ribeiro04,28236,28244,28244,29042,29042,29042,29042,29042,
g_morais04,29014,29022,29022,29851,29851,29851,29851,29851,
m_carvalho04,29792,29800,29800,30660,30660,30660,30660,30660,
l_dias04,30570,30578,30578,31469,31469,31469,31469,31469,
r_moreira04,31348,31356,31356,32278,32278,32278,32278,32278,
f_nunes04,32126,32134,32134,33087,33087,33087,33087,33087,
g_martins04,32904,32912,32912,33896,33896,33896,33896,33896,
m_freitas04,33682,33690,33690,34705,34705,34705,34705,34705,
l_sousa04,34460,34468,34468,35514,35514,35514,35514,35514,
r_batista04,35238,35246,35246,36323,36323,36323,36323,36323,
f_rocha04,36016,36024,36024,37132,37132,37132,37132,37132,
g_lopes04,36794,36802,36802,37941,37941,37941,37941,37941,
m_melo04,37572,37580,37580,38750,38750,38750,38750,38750,
l_fernandes04,38350,38358,38358,39559,39559,39559,39559,39559,
vipassando,8718,8558,8548,8519,8263,8150,8150,8047,7539
dicasbruceuchoa,14897,14905,14905,15233,15233,15233,15233,15233,12920
pcgiro,15678,15686,15686,16035,16035,16035,16035,16035,5029
wilsonfongaroo,16345,16353,16353,16723,16723,16723,16723,16723,5268
arianefmiranda,17112,17120,17120,17511,17511,17511,17511,17511,9169
aguiar_gleyce,18456,18464,18464,18889,18889,18889,18889,18889,9198
abarbaragurgel,19678,19686,19686,20145,20145,20145,20145,20145,8128
ingridy0_1_,20456,20464,20464,20952,20952,20952,20952,20952,5210
sarkislol1,21234,21242,21242,21761,21761,21761,21761,21761,5150
