Perfil,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
thiaguinho.11,12783,12773,12763,12763,12546,12454,12454,12291,12140
alanbernardon,14969,16252,16242,16242,16112,16094,16094,15976,15878
lucasfrigeri01,33350,33362,33362,34109,34095,33899,33899,33899,33681
raulsteffens_,25379,25510,26236,26238,26729,26587,26587,26587,26948
murilopolo10,20670,20118,20099,19590,18975,18782,18782,18782,18776
lucasronier.oficial,22233,22165,22165,22165,33839,35941,39244,41541,41902
brunoferreira_94,40806,40611,40597,40597,43657,43502,43502,46331,47804
iversonfnds,15093,15825,15840,15840,16134,16116,16116,16116,16425
raulbaretta_photo,40258,40566,40586,42369,42708,43425,44489,44489,46242
chorinhooficial94,19509,19689,19686,19686,20891,20878,20878,20878,21914
fabriciobarrosantana,40909,40146,40107,39343,38013,37459,37459,37459,36265
eududafragoso,20820,20701,20676,20676,19990,19600,20954,22029,23440
fabiobolota,6679,6693,6693,6724,6753,6764,6764,6797,6797
escobarjr1,10889,10854,10852,10848,10857,10838,10804,10809,10809
carlacircenis,4721,4764,4766,4786,4829,4887,4911,5071,5132
priharvey,9733,9805,9814,9811,9736,9736,9736,9736,9736
lucanolasco,7184,7255,7248,8084,8883,8830,8830,8610,9468
tavinhoba,14661,14936,14950,15761,17226,18046,18046,18046,20579
fneis,13798,13861,13863,14350,15102,15102,15416,16287,16537
woppenkoski,23151,23493,23496,23629,23632,23571,23594,24043,24683
gigiocariani,42163,43101,43156,45679,46241,46241,47325,52362,53564
renzo_amancio,15804,16501,16528,17342,18273,18599,18599,20192,20486
natanschmidtphotos,28165,30022,30080,33235,34304,34803,36098,37249,39163
douglaspureza,15989,16074,16077,16077,15978,15936,15936,15936,15866
gabylaanza,16913,16650,16642,16327,17813,18139,18901,19030,20123
nathalia_adc,33581,34048,34517,35409,35558,35809,35809,35930,36106
theocruztm,7939,8082,8082,8341,8497,8583,8646,8989,9133
marialuciask8,45784,45217,45246,45246,47089,47262,47262,47180,46895
mayra.paes,5442,5401,5399,5447,5431,5662,5662,5751,5759
_ana.oliva,8788,9267,9263,11210,14996,15948,15948,17668,19907
dehlehh,16563,16538,16491,16141,15640,15145,15145,15431,15431
btzmotta,16635,16164,16164,16164,16164,16164,16287,16928,17652
thiago_siqueirajayme,13352,13200,13188,13114,13042,13106,13108,13108,13043
beatizzy,14715,14754,14742,14764,14725,14598,14627,14627,15449
day_rosa03,15326,15115,14989,14989,14989,14989,14989,14989,14989
camii.stella,17947,17947,17780,17719,17519,17433,17573,17440,17497
lanaribeirooo,29136,29125,29099,30155,30303,30326,30296,30475,30363
maymartinsvieira,15160,14751,14430,14430,14163,13726,13726,13788,13375
rafael_pereira110,13527,13399,13303,13303,13164,13085,12939,12903,12809
lucascorts,16519,16560,16560,16560,16560,16560,16560,16560,16560
marcinho_carrera,18136,18087,18239,18369,18355,18270,18270,18300,18213
grazy_maya,14857,14855,14853,14691,14714,15778,15778,15611,15599
isisvegana,17375,17698,17755,17755,17699,17645,17645,17645,17471
k_nnery,17752,17914,18785,18785,19791,19724,19724,19608,19608
robert_alves05,21554,21554,21554,21554,21554,21554,21554,21554,21554
vansroom,17816,17687,17689,18177,18003,18039,17849,17849,17798
gustavopeq,23879,26840,27108,27108,31294,32297,32297,32297,34040
kessiomarciel,20008,22840,31397,31397,38901,42187,42187,47751,83016
georgiapoletto,4381,4451,4470,4470,4553,4827,4827,4834,4941
arthurnogueiracastilho,4468,4450,4434,4434,4391,4344,4344,4345,4320
beafrickmann,4287,4822,5198,5699,6023,6023,6023,6023,6023
lucascavallieri__,9899,11768,11796,13215,14623,17139,17139,21604,22991
rhyan_liborioo,4230,4211,4292,4292,4288,4262,4262,4228,4164
baldissera46,5916,6198,6535,6535,6943,7142,7142,7313,8369
robertimandrade,6049,6218,6843,6843,7754,7916,7916,8435,9204
victorsantiag0,5842,11369,11563,18441,18913,19145,19119,19369,19194
beatcampos,8953,10048,10048,10846,11828,12476,13158,13708,13901
dicasbruceuchoa,11024,11806,12199,12552,12637,12757,12827,12827,12920
pcgiro,5173,5035,5029,5029,5029,5029,5029,5029,5029
wilsonfongaroo,5818,5495,5238,5238,5268,5268,5268,5268,5268
arianefmiranda,6454,6999,7150,7150,7676,8259,8259,8662,9169
aguiar_gleyce,6908,7348,7389,7596,7745,7885,8097,8097,9198
abarbaragurgel,7960,7865,7866,7843,7823,7816,7830,8128,8128
ingridy0_1_,5004,5033,5005,5005,5085,5032,5032,5069,5210
sarkislol1,5339,5382,5381,5316,5302,5258,5220,5196,5150
laviine_pinheiro,5428,5428,5428,5428,5428,5428,5428,5428,5428
senhoradigitaloficial,8579,8573,9231,9231,8408,8351,8879,8879,10519
nossodestino_oficial,7221,7295,7301,7315,7318,7306,7323,7323,7336
brulouize,6351,6254,6227,6227,6175,6175,6175,6175,6175
claudio.agullo,9569,9509,10562,10562,11433,10851,10851,10960,10736
eduletsplay,10635,11919,12326,14794,14751,14586,14389,14124,14124
aesthertorres,8284,8228,8227,8227,8097,8069,8081,8081,8096
cristianekarla01,8431,8114,7926,7926,7660,7388,7125,7125,6804
eliane_karoline_,14689,15033,17693,17693,24328,24541,24917,24726,24726
vipassando,6482,6504,6530,6530,7216,7264,7469,7469,7539
margaretemacieloficial,17060,17198,17198,17198,17198,17198,17198,17198,17198
viniciuskids_,21882,28349,29047,29047,33012,33234,33234,36536,51480
matheusn7,8699,9821,9652,9652,10520,10543,10543,10108,10109
lara.oliferr,8133,8086,8019,7900,7692,7643,7643,7497,7497
2lmalaquias,10730,10810,10816,10816,10886,10903,10912,10912,11126
