Perfil,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
thiaguinho.11,67.82%,66.22%,67.71%,67.71%,66.3%,67.67%,67.67%,67.6%,67.94%
alanbernardon,65.38%,63.79%,65.27%,65.27%,63.87%,63.87%,63.87%,65.16%,63.88%
lucasfrigeri01,64.12%,62.53%,62.53%,64.01%,62.61%,63.97%,63.97%,63.97%,64.25%
raulsteffens_,72.18%,70.59%,72.08%,72.08%,70.67%,70.67%,70.67%,70.67%,70.68%
murilopolo10,69.73%,68.13%,68.13%,69.62%,68.21%,68.21%,68.21%,68.21%,68.23%
lucasronier.oficial,82.14%,80.54%,82.03%,82.03%,80.62%,81.99%,78.96%,78.89%,77.61%
brunoferreira_94,65.2%,61.34%,62.82%,62.82%,63.69%,51.08%,51.08%,51.01%,61.43%
iversonfnds,65.45%,63.86%,65.34%,64.07%,63.94%,68%,68.54%,68.54%,67.19%
raulbaretta_photo,70.04%,68.45%,69.93%,68.66%,68.53%,69.89%,69.82%,68.54%,70.17%
chorinhooficial94,57.5%,55.91%,57.39%,57.39%,57.94%,57.94%,57.94%,57.94%,57.95%
fabriciobarrosantana,65.97%,50.05%,51.53%,51.53%,50.13%,51.49%,51.49%,51.49%,50.14%
eududafragoso,79.2%,77.61%,79.09%,79.09%,77.69%,73.61%,78.98%,78.98%,79.33%
fabiobolota,63.19%,61.6%,63.08%,63.08%,61.68%,63.04%,63.04%,61.69%,61.69%
escobarjr1,66.48%,64.88%,64.88%,66.37%,64.96%,66.33%,66.26%,64.98%,64.98%
carlacircenis,62.97%,61.38%,62.87%,62.87%,61.46%,62.83%,62.83%,61.47%,63.1%
priharvey,58.6%,57.01%,58.49%,58.49%,57.09%,57.09%,57.09%,57.09%,57.09%
lucanolasco,68.75%,67.16%,68.64%,64.26%,64.13%,65.49%,65.49%,65.42%,65.77%
tavinhoba,61.55%,59.95%,61.44%,61.44%,60.03%,60.03%,60.03%,60.03%,60.05%
fneis,67.19%,65.6%,67.08%,67.08%,65.68%,67.04%,67.04%,65.69%,67.32%
woppenkoski,63.78%,62.19%,63.67%,63.67%,62.27%,63.63%,63.63%,62.28%,63.91%
gigiocariani,66.77%,65.18%,65.18%,66.66%,65.26%,66.62%,66.62%,65.27%,66.9%
renzo_amancio,56.39%,54.79%,56.28%,56.28%,54.87%,56.24%,56.24%,54.89%,56.51%
natanschmidtphotos,77.33%,75.74%,77.22%,75.95%,75.82%,77.18%,77.11%,75.83%,77.46%
douglaspureza,71.9%,70.3%,71.79%,71.79%,70.38%,70.38%,70.38%,70.38%,70.4%
gabylaanza,70.97%,54.28%,55.76%,55.76%,54.36%,69.46%,72.36%,72.36%,72.71%
nathalia_adc,73.05%,71.46%,71.46%,71.67%,71.54%,72.91%,72.91%,71.55%,73.18%
theocruztm,66.56%,64.97%,66.46%,66.46%,65.05%,66.42%,66.42%,65.06%,66.69%
marialuciask8,70.42%,47.33%,48.81%,66.26%,63.79%,65.15%,65.15%,63.8%,65.43%
mayra.paes,83.06%,81.46%,81.46%,81.68%,81.54%,82.91%,82.91%,82.84%,81.56%
_ana.oliva,66.63%,65.04%,66.52%,66.52%,65.12%,66.48%,66.48%,66.41%,66.76%
dehlehh,75.73%,74.13%,75.62%,74.35%,74.21%,75.58%,75.58%,74.23%,
btzmotta,60.61%,59.5%,60.98%,59.71%,59.58%,59.58%,61.57%,61.57%,
thiago_siqueirajayme,58.35%,56.76%,58.25%,58.25%,56.84%,58.21%,58.21%,58.21%,
beatizzy,66.64%,68.26%,69.74%,69.74%,68.34%,69.7%,69.7%,69.7%,
day_rosa03,57.32%,55.73%,57.21%,57.21%,55.81%,55.81%,55.81%,55.81%,
camii.stella,58.5%,58.5%,58.39%,58.39%,56.99%,58.35%,58.35%,57%,
