Perfil,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
tagi_13,74.6%,76.7%,76.1%,76.2%,77.4%,78.8%,80.9%,80.9%,80.9%
fofu_73,83.0%,83.0%,81.0%,80.9%,82.8%,81.7%,82.9%,83.8%,83.8%
gefinoca14,56.6%,56.6%,58.7%,58.2%,57.1%,56.9%,56.9%,55.5%,54.3%
menola_40,60.6%,58.5%,58.0%,58.0%,59.4%,59.4%,61.2%,61.2%,61.8%
nace.ti,59.9%,59.9%,59.9%,58.9%,60.3%,59.9%,59.9%,59.9%,59.9%
gipalo_71,59.0%,61.1%,61.1%,61.1%,59.1%,59.1%,58.6%,58.4%,57.9%
coconumu_store,64.3%,64.7%,64.7%,64.9%,65.7%,65.7%,64.4%,64.7%,63.8%
lutoto.51,51.4%,52.4%,52.4%,54.4%,55.5%,55.7%,55.0%,55.0%,56.2%
fagemini_store,80.6%,78.5%,78.5%,76.5%,78.3%,79.1%,77.1%,76.7%,76.0%
nagoce.61,75.5%,75.4%,75.4%,75.4%,77.4%,76.0%,73.9%,73.9%,74.7%
goluferuoficial,71.4%,73.1%,71.5%,73.4%,74.5%,74.2%,73.3%,71.8%,70.4%
pimefuni.29,58.6%,60.3%,58.5%,56.5%,55.6%,53.6%,53.6%,53.6%,53.4%
papu.oficial,63.1%,63.0%,60.9%,60.9%,60.9%,60.9%,59.6%,61.7%,59.9%
cefanapi.82,64.9%,66.6%,68.1%,68.1%,67.4%,69.3%,67.5%,66.2%,64.1%
puganani34,81.1%,81.1%,79.1%,77.4%,79.6%,81.1%,80.4%,79.5%,79.1%
limu_nu,80.7%,79.1%,79.8%,82.0%,80.4%,81.6%,80.5%,80.5%,81.6%
getorice_65,79.2%,79.2%,77.8%,76.4%,76.4%,76.4%,74.7%,75.7%,75.7%
nifapiskin,76.6%,75.5%,76.6%,78.4%,79.9%,79.9%,79.3%,77.5%,77.5%
menopu_store,65.4%,65.6%,65.6%,67.3%,67.3%,66.9%,66.9%,65.2%,64.2%
noreni_8,67.1%,68.8%,68.7%,68.7%,69.2%,70.8%,73.0%,74.6%,72.7%
cigetomecos,66.8%,67.1%,69.7%,70.1%,70.1%,68.9%,68.9%,70.4%,68.5%
nola74,56.8%,55.3%,56.4%,56.4%,56.4%,55.7%,55.2%,53.3%,53.3%
mafurica96,67.1%,72.6%,73.9%,73.2%,75.4%,75.4%,75.4%,76.5%,75.7%
cipipati85,68.0%,69.1%,69.1%,69.8%,69.8%,67.7%,67.4%,67.4%,67.5%
fegepumo_75,70.3%,72.1%,70.4%,71.4%,73.1%,74.0%,72.2%,71.1%,71.1%
fopu_53,84.9%,84.1%,82.7%,80.6%,80.9%,83.0%,83.0%,81.7%,79.6%
ramoficu_19,74.4%,73.7%,76.6%,74.6%,74.6%,76.6%,76.3%,75.1%,76.6%
ritulame.le,78.1%,78.1%,78.8%,78.8%,78.8%,78.8%,79.4%,82.5%,84.4%
petilu41,47.2%,47.8%,47.3%,47.5%,47.6%,46.3%,45.6%,46.8%,47.2%
cunotami.fe,73.1%,71.6%,71.6%,72.1%,72.1%,72.1%,69.1%,68.0%,68.0%
ramufigo43,70.8%,72.7%,73.9%,73.9%,76.0%,76.0%,74.4%,72.7%,72.7%
forupo_51,47.8%,50.0%,51.6%,51.6%,53.8%,54.8%,56.6%,57.4%,57.7%
ripe69,57.7%,57.0%,55.5%,57.2%,58.3%,56.7%,54.9%,54.9%,54.4%
nope86,57.0%,55.8%,53.9%,53.1%,53.3%,53.1%,51.1%,51.7%,51.7%
mope_66,78.7%,79.5%,79.5%,79.5%,78.5%,78.5%,76.4%,76.4%,75.3%
rapi54,49.9%,48.4%,47.0%,47.0%,47.0%,47.0%,46.0%,49.7%,49.7%
nematucu33,68.4%,68.2%,66.5%,67.5%,67.5%,69.4%,67.6%,67.5%,67.5%
geneco.66,57.8%,58.2%,59.0%,61.0%,61.0%,61.0%,61.8%,61.9%,62.2%
nomigo_beauty,60.0%,58.6%,58.6%,60.4%,58.6%,60.1%,61.0%,60.0%,60.0%
rula,64.6%,62.6%,61.8%,63.7%,64.5%,64.5%,63.2%,61.9%,61.9%
